frame_number,timestamp,track_id,class,x1,y1,x2,y2,confidence
5,2025-05-31 14:59:27.984846,8,motorcycle,1402.1189,516.7253,1590.8242,683.2003,0.7145937
5,2025-05-31 14:59:27.985391,10,truck,1232.6381,283.22015,1645.5995,573.2791,0.63713175
5,2025-05-31 14:59:27.985901,11,car,399.51538,385.6779,626.1075,599.1111,0.73202956
5,2025-05-31 14:59:27.986662,14,motorcycle,0.0,527.64343,208.23,836.026,0.56858206
5,2025-05-31 14:59:27.987475,12,motorcycle,1607.7163,491.39813,1773.515,628.5135,0.5704711
5,2025-05-31 14:59:27.988184,9,truck,581.68744,355.1112,1204.222,655.0723,0.60613674
6,2025-05-31 14:59:28.603809,1,person,1446.122,429.12006,1567.033,646.8158,0.69137377
6,2025-05-31 14:59:28.604577,2,motorcycle,148.46819,479.0938,531.4794,728.7568,0.7780874
6,2025-05-31 14:59:28.605464,3,motorcycle,841.87537,549.0461,1166.0116,796.16095,0.76484466
6,2025-05-31 14:59:28.606108,4,person,953.1092,392.52008,1118.1212,720.78827,0.8124562
6,2025-05-31 14:59:28.606743,5,person,255.89655,352.88385,437.952,686.36053,0.71198046
6,2025-05-31 14:59:28.607367,8,motorcycle,1411.503,522.6708,1598.7516,681.29584,0.7508143
6,2025-05-31 14:59:28.607894,10,truck,1241.9128,287.75443,1657.3022,573.2133,0.591126
6,2025-05-31 14:59:28.608388,11,car,410.52307,385.63602,642.3558,600.97015,0.62073696
6,2025-05-31 14:59:28.608992,14,motorcycle,0.0,599.0564,183.06026,947.1093,0.6677389
6,2025-05-31 14:59:28.609733,9,truck,599.5773,346.63983,1230.0706,651.0771,0.6388713
7,2025-05-31 14:59:29.036869,1,person,1457.7218,429.29788,1575.7799,646.47406,0.6814526
7,2025-05-31 14:59:29.037620,2,motorcycle,183.68944,489.8654,556.9527,725.46936,0.7935817
7,2025-05-31 14:59:29.038326,3,motorcycle,862.1401,548.6686,1183.7097,790.70184,0.825013
7,2025-05-31 14:59:29.038924,4,person,974.25964,395.56277,1136.5166,717.55634,0.80243343
7,2025-05-31 14:59:29.039522,5,person,273.92917,358.33313,461.38916,670.72546,0.6129019
7,2025-05-31 14:59:29.040279,8,motorcycle,1422.7621,511.88428,1605.2545,678.65686,0.6881858
7,2025-05-31 14:59:29.040798,11,car,423.0472,380.8687,662.2737,600.4321,0.53561497
7,2025-05-31 14:59:29.041427,14,motorcycle,0.32755002,571.0532,212.1093,970.48413,0.5630619
7,2025-05-31 14:59:29.042116,9,truck,609.9303,350.3611,1245.3279,653.14325,0.5833086
7,2025-05-31 14:59:29.042865,7,bus,944.4631,255.03377,1283.3412,526.3193,0.515973
7,2025-05-31 14:59:29.043752,6,bus,1661.2422,300.15106,1920.0,498.2368,0.5555352
7,2025-05-31 14:59:29.044744,12,motorcycle,1621.2397,472.91647,1778.18,623.253,0.55126464
8,2025-05-31 14:59:29.472637,1,person,1465.78,431.78873,1590.4541,647.115,0.71996367
8,2025-05-31 14:59:29.473360,2,motorcycle,217.12103,486.35846,582.8377,721.7446,0.8203235
8,2025-05-31 14:59:29.474311,3,motorcycle,883.5315,554.9357,1199.2041,786.3526,0.82174516
8,2025-05-31 14:59:29.475183,4,person,993.69055,397.92728,1152.0381,718.7623,0.82800305
8,2025-05-31 14:59:29.476220,5,person,309.23895,358.70163,484.84906,667.28156,0.7038992
8,2025-05-31 14:59:29.477244,8,motorcycle,1433.5891,510.03555,1612.9437,678.09955,0.73398095
8,2025-05-31 14:59:29.478370,14,motorcycle,0.066145465,525.8025,277.13007,973.18884,0.74902
8,2025-05-31 14:59:29.479304,9,truck,617.5145,351.07907,1259.0472,654.3084,0.5561444
8,2025-05-31 14:59:29.480045,6,bus,1664.8716,301.4378,1920.0,494.15793,0.570858
8,2025-05-31 14:59:29.480781,12,motorcycle,1626.1028,474.85635,1785.762,622.41565,0.52764887
9,2025-05-31 14:59:29.953623,1,person,1473.3905,433.06982,1593.8812,645.09863,0.6712037
9,2025-05-31 14:59:29.954507,2,motorcycle,243.03421,444.4252,606.71515,722.37427,0.7723639
9,2025-05-31 14:59:29.955160,3,motorcycle,906.14087,550.0505,1212.8596,786.77454,0.84825927
9,2025-05-31 14:59:29.955764,4,person,1010.22437,399.42316,1169.9077,709.7549,0.75324386
9,2025-05-31 14:59:29.956530,5,person,346.76407,357.6203,509.89258,657.55927,0.6961513
9,2025-05-31 14:59:29.957681,8,motorcycle,1443.412,512.20435,1617.147,675.7228,0.7243133
9,2025-05-31 14:59:29.958824,14,motorcycle,0.3136025,514.1562,320.23712,965.6414,0.79292095
9,2025-05-31 14:59:29.959950,9,truck,631.3715,332.90192,1278.3276,653.80566,0.5423681
