frame_number,timestamp,track_id,class,x1,y1,x2,y2,confidence
587,2025-05-31 21:21:28.811067,1,person,235.19772,134.94891,267.17914,261.8247,0.7445597648620605
587,2025-05-31 21:21:28.811278,2,person,447.17236,156.58293,506.49582,221.16124,0.7368888258934021
587,2025-05-31 21:21:28.811464,3,person,86.55991,131.92725,118.81155,209.47906,0.6977236866950989
587,2025-05-31 21:21:28.811636,4,person,202.37598,141.37437,231.27441,214.79631,0.6070342659950256
587,2025-05-31 21:21:28.811819,5,person,114.86632,131.15883,142.86319,206.394,0.5085077285766602
588,2025-05-31 21:21:29.102683,1,person,235.03845,134.82327,267.29767,261.67685,0.732943594455719
588,2025-05-31 21:21:29.102918,2,person,448.37158,154.43987,495.2914,223.86241,0.6637341976165771
588,2025-05-31 21:21:29.103126,3,person,200.45581,141.8291,228.1485,213.26746,0.6452460885047913
588,2025-05-31 21:21:29.103332,4,person,86.41797,131.56152,120.06913,206.98842,0.5735158920288086
589,2025-05-31 21:21:29.381076,1,person,235.50955,134.70273,267.2431,261.6316,0.7497835159301758
589,2025-05-31 21:21:29.381426,2,person,198.9707,141.60304,226.77278,212.03456,0.696688711643219
589,2025-05-31 21:21:29.381751,3,person,86.21127,131.46269,120.169464,207.89635,0.5808835625648499
590,2025-05-31 21:21:29.628237,1,person,235.79437,134.56198,267.41953,261.49835,0.7316956520080566
590,2025-05-31 21:21:29.628379,2,person,199.39612,141.8038,224.70789,211.76225,0.663701057434082
591,2025-05-31 21:21:29.836448,1,person,235.47537,135.00293,267.41083,261.40073,0.7167758345603943
591,2025-05-31 21:21:29.836569,2,person,198.28719,140.8197,222.91505,212.705,0.6914352178573608
591,2025-05-31 21:21:29.837335,3,person,84.863144,131.4407,119.38522,206.76524,0.5097544193267822
592,2025-05-31 21:21:30.231469,1,person,235.21265,134.7785,270.13055,262.13245,0.6856390833854675
592,2025-05-31 21:21:30.231666,2,person,197.52374,141.72464,220.7881,213.12376,0.6756888628005981
592,2025-05-31 21:21:30.231816,3,person,83.63274,131.49646,118.217186,207.42972,0.5533338785171509
593,2025-05-31 21:21:30.493508,1,person,196.12213,141.30937,219.7921,213.28532,0.6897486448287964
593,2025-05-31 21:21:30.493762,2,person,235.27805,135.05261,270.27887,262.0124,0.6775045394897461
593,2025-05-31 21:21:30.493985,3,person,83.66673,132.69757,115.33621,207.10323,0.5398467183113098
593,2025-05-31 21:21:30.494176,4,person,264.75937,165.23369,308.39993,236.66408,0.5051742196083069
594,2025-05-31 21:21:30.705933,1,person,193.93521,140.74622,218.62646,213.4555,0.6724739074707031
594,2025-05-31 21:21:30.706082,2,person,234.72153,135.17725,267.5957,262.00095,0.6666462421417236
594,2025-05-31 21:21:30.706189,3,person,82.80261,131.5703,115.38271,207.04878,0.5241762399673462
595,2025-05-31 21:21:30.962337,1,person,234.62317,135.28839,267.6751,262.057,0.6668730974197388
595,2025-05-31 21:21:30.962550,2,person,192.56635,139.28995,218.02394,213.99614,0.66270911693573
595,2025-05-31 21:21:30.962738,3,person,82.7719,131.62807,114.85322,208.5063,0.5488972663879395
596,2025-05-31 21:21:31.229457,1,person,234.65628,135.12274,267.96533,261.92938,0.6918960213661194
596,2025-05-31 21:21:31.229690,2,person,191.36226,140.3287,217.73875,214.13786,0.6880636811256409
596,2025-05-31 21:21:31.229895,3,person,81.91595,131.57605,114.10915,209.08699,0.6087344884872437
597,2025-05-31 21:21:31.479356,1,person,189.92584,140.65762,216.9941,213.64778,0.701626181602478
597,2025-05-31 21:21:31.479592,2,person,234.94144,134.26944,268.69702,263.31415,0.6601355075836182
597,2025-05-31 21:21:31.479790,3,person,81.31595,131.87299,114.30138,209.46506,0.5967774391174316
598,2025-05-31 21:21:31.734363,1,person,234.07736,133.5416,264.26514,262.42218,0.7425721287727356
598,2025-05-31 21:21:31.734502,2,person,188.36206,139.79431,216.24797,213.24216,0.6868388056755066
598,2025-05-31 21:21:31.734616,3,person,80.28148,131.64648,114.09617,207.60347,0.6057872176170349
599,2025-05-31 21:21:32.033201,1,person,187.42859,140.19138,214.53992,213.23398,0.7101418972015381
599,2025-05-31 21:21:32.033471,2,person,78.783615,131.26611,113.921425,207.55841,0.625738263130188
600,2025-05-31 21:21:32.415555,1,person,77.730316,131.3854,113.94349,207.8221,0.6545560956001282
601,2025-05-31 21:21:32.720028,1,person,76.33705,131.47281,112.92966,206.14117,0.6540438532829285
602,2025-05-31 21:21:33.099111,1,person,75.367615,131.02806,112.0614,206.3285,0.6566120982170105
604,2025-05-31 21:21:33.759477,1,person,72.386955,129.79099,109.27766,237.75172,0.5520760416984558
614,2025-05-31 21:21:36.003556,1,person,463.7387,153.59863,492.73645,193.43153,0.6165341734886169
615,2025-05-31 21:21:36.312331,1,person,512.13306,154.1108,545.9986,218.99458,0.689899206161499
615,2025-05-31 21:21:36.312539,2,person,463.64746,152.86642,515.93036,220.82024,0.5205034017562866
616,2025-05-31 21:21:36.589304,1,person,461.06738,154.815,513.9004,219.39871,0.6963992118835449
616,2025-05-31 21:21:36.589402,2,person,514.69727,155.05643,547.0448,219.33638,0.6651966571807861
617,2025-05-31 21:21:36.771483,1,person,460.8559,154.80515,513.024,218.64421,0.6814122796058655
617,2025-05-31 21:21:36.771620,2,person,516.7623,155.85178,549.40106,219.13509,0.6680617332458496
618,2025-05-31 21:21:37.002269,1,person,520.21277,154.35992,554.05927,219.32835,0.7341341972351074
618,2025-05-31 21:21:37.002460,2,person,460.5265,155.08893,514.3645,218.45125,0.6741774678230286
619,2025-05-31 21:21:37.188834,1,person,458.3891,155.05467,515.6957,218.74117,0.678115963935852
619,2025-05-31 21:21:37.188935,2,person,523.199,155.91022,555.98627,218.67091,0.5885511040687561
620,2025-05-31 21:21:37.364161,1,person,453.61407,154.84215,519.62537,219.12163,0.7038659453392029
620,2025-05-31 21:21:37.364293,2,person,525.7099,156.65231,559.7376,218.83823,0.6175230145454407
